C4_-H_NaCa_2p,$[C_{4}H_{9}O_{4}CaNa]^{2+}$ I
C5_Ca_2p_I1,$[C_{5}H_{10}O_{5}Ca]^{2+}$ I1
C5_Ca_2p_I2,$[C_{5}H_{10}O_{5}Ca]^{2+}$ I2
C2_Ca_I1,$[C_{2}H_{3}O_{2}Ca]^{+}$ I1
C2_Ca_I2,$[C_{2}H_{3}O_{2}Ca]^{+}$ I2
C6-H2O_Ca_2p_I1,$[C_{6}H_{10}O_{5}Ca]^{2+}$ I1
C6-H2O_Ca_2p_I2,$[C_{6}H_{10}O_{5}Ca]^{2+}$ I2
C6_Ca_I1,$[C_{6}H_{12}O_{6}Ca]^{2+}$ I1
C6_Ca_I2,$[C_{6}H_{12}O_{6}Ca]^{2+}$ I2
C6_Ca_I3,$[C_{6}H_{12}O_{6}Ca]^{2+}$ I3
C6_Ca_I4,$[C_{6}H_{12}O_{6}Ca]^{2+}$ I4
C6_Ca_I5,$[C_{6}H_{12}O_{6}Ca]^{2+}$ I5
C6_Ca_I6,$[C_{6}H_{12}O_{6}Ca]^{2+}$ I6
C7-O_Ca_2p_I1,$[C_{7}H_{14}O_{6}Ca]^{2+}$ I1
C7-O_Ca_2p_I2,$[C_{7}H_{14}O_{6}Ca]^{2+}$ I2
C7-O_Ca_2p_I3,$[C_{7}H_{14}O_{6}Ca]^{2+}$ I3
C6+H2O_Ca_2p_I1,$[C_{6}H_{14}O_{7}Ca]^{2+}$ I1
C6+H2O_Ca_2p_I2,$[C_{6}H_{14}O_{7}Ca]^{2+}$ I2
C6+H2O_Ca_2p_I3,$[C_{6}H_{14}O_{7}Ca]^{2+}$ I3
C6+H2O_Ca_2p_I4,$[C_{6}H_{14}O_{7}Ca]^{2+}$ I4
C7_Ca_2p_I1,$[C_{7}H_{14}O_{7}Ca]^{2+}$ I1
C7_Ca_2p_I2,$[C_{7}H_{14}O_{7}Ca]^{2+}$ I2
C7_Ca_2p_I3,$[C_{7}H_{14}O_{7}Ca]^{2+}$ I3
C7_+H2_Ca_2p_I1,$[C_{7}H_{16}O_{7}Ca]^{2+}$ I1
C7_+H2_Ca_2p_I2,$[C_{7}H_{16}O_{7}Ca]^{2+}$ I2
C7_+H2_Ca_2p_I3,$[C_{7}H_{16}O_{7}Ca]^{2+}$ I3
C7_+H2_Ca_2p_I4,$[C_{7}H_{16}O_{7}Ca]^{2+}$ I4
C7_+H2_Ca_2p_I5,$[C_{7}H_{16}O_{7}Ca]^{2+}$ I5
C6+2H2O_Ca_2p_I1,$[C_{6}H_{16}O_{8}Ca]^{2+}$ I1
C6+2H2O_Ca_2p_I2,$[C_{6}H_{16}O_{8}Ca]^{2+}$ I2
C6+2H2O_Ca_2p_I3,$[C_{6}H_{16}O_{8}Ca]^{2+}$ I3
C6+2H2O_Ca_2p_I4,$[C_{6}H_{16}O_{8}Ca]^{2+}$ I4
C3_Ca_I1,$[C_{3}H_{5}O_{3}Ca]^{+}$ I1
C7+H2O_Ca_2p_I1,$[C_{7}H_{16}O_{8}Ca]^{2+}$ I1
C7+H2O_Ca_2p_I2,$[C_{7}H_{16}O_{8}Ca]^{2+}$ I2
C7+H2O_Ca_2p_I3,$[C_{7}H_{16}O_{8}Ca]^{2+}$ I3
C7+H2O_Ca_2p_I4,$[C_{7}H_{16}O_{8}Ca]^{2+}$ I4
C9-O2_Ca_2p_I1,$[C_{9}H_{18}O_{7}Ca]^{2+}$ I1
C9-O2_Ca_2p_I2,$[C_{9}H_{18}O_{7}Ca]^{2+}$ I2
C9-O2_Ca_2p_I3,$[C_{9}H_{18}O_{7}Ca]^{2+}$ I3
C9-O2_Ca_2p_I4,$[C_{9}H_{18}O_{7}Ca]^{2+}$ I4
C8_Ca_2p_I1,$[C_{8}H_{16}O_{8}Ca]^{2+}$ I1
C8_Ca_2p_I2,$[C_{8}H_{16}O_{8}Ca]^{2+}$ I2
C8_Ca_2p_I3,$[C_{8}H_{16}O_{8}Ca]^{2+}$ I3
C8_Ca_2p_I4,$[C_{8}H_{16}O_{8}Ca]^{2+}$ I4
C8_+H2_Ca_2p_I1,$[C_{8}H_{18}O_{8}Ca]^{2+}$ I1
C8_+H2_Ca_2p_I2,$[C_{8}H_{18}O_{8}Ca]^{2+}$ I2
C8_+H2_Ca_2p_I3,$[C_{8}H_{18}O_{8}Ca]^{2+}$ I3
C7+2H2O_Ca_2p_I1,$[C_{7}H_{18}O_{9}Ca]^{2+}$ I1
