time,DHA,NaOH,CaCl2,formaldehyde,C10+H2O_Ca_2p_I1,C10+H2O_Ca_2p_I2,C10+H2O_Ca_2p_I3,C10_Ca_2p_I1,C10_Ca_2p_I2,C10_Ca_2p_I3,C10_Ca_2p_I4,C11+H2O_Ca_2p_I1,C11+H2O_Ca_2p_I2,C11+H2O_Ca_2p_I3,C11_Ca_2p_I1,C11_Ca_2p_I2,C12+H2O_Ca_2p_I1,C12+H2O_Ca_2p_I2,C12+H2O_Ca_2p_I3,C12_Ca_2p_I1,C12_Ca_2p_I2,C12_Ca_2p_I3,C2_Ca_I1,C2_Ca_I2,C3_Ca_I1,C4_-H_NaCa_2p,C4_Ca_I1,C4_Ca_I2,C5_Ca_2p_I1,C5_Ca_2p_I2,C5_Na_I1,C5_Na_I2,C6+2H2O_Ca_2p_I1,C6+2H2O_Ca_2p_I2,C6+2H2O_Ca_2p_I3,C6+2H2O_Ca_2p_I4,C6+H2O_Ca_2p_I1,C6+H2O_Ca_2p_I2,C6+H2O_Ca_2p_I3,C6+H2O_Ca_2p_I4,C6-H2O_Ca_2p_I1,C6-H2O_Ca_2p_I2,C6-H2O_Na_I1,C6-H2O_Na_I2,C6-H2O_Na_I3,C6-H2O_Na_I4,C6_Ca_I1,C6_Ca_I2,C6_Ca_I3,C6_Ca_I4,C6_Ca_I5,C6_Ca_I6,C6_Na_I1,C6_Na_I2,C6_Na_I3,C6_Na_I4,C7+2H2O_Ca_2p_I1,C7+2H2O_Ca_2p_I2,C7+2H2O_Ca_2p_I3,C7+H2O_Ca_2p_I1,C7+H2O_Ca_2p_I2,C7+H2O_Ca_2p_I3,C7+H2O_Ca_2p_I4,C7-O-H2O_Na_I1,C7-O-H2O_Na_I2,C7-O-H2O_Na_I3,C7-O-H2O_Na_I4,C7-O-H2O_Na_I5,C7-O-H2O_Na_I6,C7-O_Ca_2p_I1,C7-O_Ca_2p_I2,C7-O_Ca_2p_I3,C7_+H2_Ca_2p_I1,C7_+H2_Ca_2p_I2,C7_+H2_Ca_2p_I3,C7_+H2_Ca_2p_I4,C7_+H2_Ca_2p_I5,C7_Ca_2p_I1,C7_Ca_2p_I2,C7_Ca_2p_I3,C7_Na_I1,C7_Na_I2,C7_Na_I3,C8+H2O_Ca_2p_I1,C8+H2O_Ca_2p_I2,C8+H2O_Ca_2p_I3,C8+H2O_Ca_2p_I4,C8_+H2_Ca_2p_I1,C8_+H2_Ca_2p_I2,C8_+H2_Ca_2p_I3,C8_Ca_2p_I1,C8_Ca_2p_I2,C8_Ca_2p_I3,C8_Ca_2p_I4,C9+H2O_Ca_2p_I1,C9+H2O_Ca_2p_I2,C9+H2O_Ca_2p_I3,C9+H2O_Ca_2p_I4,C9-O2_Ca_2p_I1,C9-O2_Ca_2p_I2,C9-O2_Ca_2p_I3,C9-O2_Ca_2p_I4,C9-O_Ca_2p_I1,C9-O_Ca_2p_I2,C9-O_Ca_2p_I3,C9-O_Ca_2p_I4,C9_Ca_2p_I1,C9_Ca_2p_I2,C9_Ca_2p_I3,C9_Ca_2p_I4
20,20.38335831719681,36.25,36.25,36.25,0.0037470389387921,0.0012739124576972556,0.0004927986293699876,0.005872803723823355,0.009368499964182615,0.0005486889418214888,0.0010838740681914812,0.0010312615883076317,0.001470510940803245,0.0005317250620768375,0.004853411703971455,0.0005297988268647625,0.0005103091234851454,0.0008967115205047295,0.0,0.0010703246418008474,0.002782424900514565,0.00038577540042216004,0.0006154453304206363,0.0,0.0005720440439434889,0.0004204977161315834,0.0003524048361300692,0.00036245395319765,0.0009635797529867648,0.00039123890324491823,0.00180466903777881,0.012049763600583826,0.00036640714791281114,0.001510583017796685,0.0011361758068614701,0.000391039651168425,0.003452619294940575,0.00595507011499078,0.0044034023750890204,0.000543072353670025,0.00226701394939518,0.0005645651853733466,0.00032336136950775,0.000460998345445288,0.00048461785988326665,0.0005818081489384235,0.01406399741097065,0.01174045875847638,0.0034807865884078602,0.0006102972563143937,0.0008182502192156602,0.0005272770613777,0.00251697573744602,0.013044665228103469,0.016487759297204325,0.00455383403916342,0.0006897418374638918,0.0012650279670891947,0.0002949662584923975,0.0018128422460501601,0.00415094595536767,0.0004545955942161,0.00040493920900990004,0.0002838135270657,0.0003367790199514091,0.0004978908059042733,0.0002516495270292056,0.00025549696064155,0.0002609819001969667,0.0036573413857666345,0.00272327597631025,0.00063186623407956,0.0009588770319239556,0.00219279599164158,0.0009785887402891107,0.000722081016689123,0.0004583417955449667,0.005343244635950385,0.00713596554629572,0.0005960384020528667,0.00178516352074038,0.001038423847148625,0.0008097969267014003,0.0006926086488529563,0.002597151263042965,0.001931084667078585,0.0003040348399372,0.0007460437945327416,0.001176276149319439,0.00043475075870216004,0.00067029611448592,0.006500763528573555,0.0032436001859381947,0.00035517246503796,0.00122312941777835,0.007850052410666485,0.00037712890586482,0.0007225414725799829,0.000809382952705775,0.0013823528736276601,0.0031331570952258998,0.00042573445086389997,0.0007461648799891181,0.002647867406773135,0.006813606388063239,0.0009230029801980162,0.001807513405041275,0.006286907574080175,0.02970788003451148,0.002390858754968495
30,20.38335831719681,36.25,36.25,36.25,0.004016679565714485,0.0018080208670506316,0.0006547235372167133,0.00635707781689609,0.009579647164036396,0.0005848622511714444,0.000898503627309711,0.00132857244866185,0.0011994621637662051,0.0002525030949028912,0.004860671973672169,0.000690260545435506,0.0005330471678409077,0.001151204678858047,0.0003362164238928,0.0012349858450513666,0.0034690594625448245,0.00047590035138778873,0.00037428274854502,0.0,0.0005056004456468647,0.0003829748183536,0.0004072061692389637,0.00035717671385965,0.0012857665577834165,0.00041873325700281114,0.001739771161698005,0.011747566555798606,0.000494145800306618,0.001218372642510342,0.001511868164796935,0.0005092381649107,0.003329646622289065,0.00677041958047671,0.004134882157763154,0.00046386020281913006,0.0024793012326271248,0.0006600593803270308,0.0004257963077723,0.0003691859681732134,0.000500229315386,0.0006713791722568668,0.014783710935613831,0.011983190516200285,0.0033283153892597747,0.000560268354667698,0.0009126377322451688,0.00035350766055239997,0.002826771872924615,0.013847649529668235,0.017157071575851546,0.0051138719382770505,0.00045524860951000383,0.00124737135021906,0.0005169444688496334,0.0015362764559586051,0.004491427720776995,0.0007293699815250922,0.0006803441594702222,0.0,0.0003951349465787929,0.0003531615526795598,0.00029739265583202,0.00019474471603138333,0.0,0.0034594595656763,0.00263987890431437,0.0007685891597741714,0.0013366707130271001,0.002209110039684815,0.001194789091479475,0.0005970864375552084,0.0004672888329143,0.00510658553609276,0.0061229946554872145,0.0005192378992638333,0.002224610539173155,0.0009793771327344346,0.0009161049220409899,0.000686178101101323,0.0023442209264823597,0.0024643889380773403,0.00034555824733792,0.0004948409002423692,0.001116448314282449,0.0005057846084734,0.0005771240810117273,0.00639829565337594,0.002955649896383795,0.00043331378180903234,0.0011967497763368685,0.007725023325834035,0.00047870797689903994,0.0007347146581872375,0.0007437186958324571,0.00166458912468171,0.0035241888356634097,0.0005851800775448,0.0006537965640723052,0.002638490533295085,0.007652165669966705,0.0008686546855946534,0.0021151688003876947,0.0071983734357499345,0.032338990781774504,0.00256825654969494
40,20.38335831719681,36.25,36.25,36.25,0.0040395683369229265,0.0015331990032757894,0.000551641255426425,0.0072229208527519115,0.0114019952022095,0.0004006402096199714,0.0010713057983379052,0.0012079663635732832,0.0012904535417360777,0.00039060484918047243,0.005568787789902242,0.0005135384580152,0.00077057340228954,0.0014728655197900388,0.00040041767364585,0.0013849471186861946,0.0035313589270282056,0.0003808233214739555,0.00031913918649234513,0.0,0.00047475096441929363,0.00040049609850016004,0.00027216426421189,0.0002734581931352434,0.001158541683318461,0.0003630611480702,0.0013878946639621736,0.011113184427343837,0.0005002221917951715,0.0013920449019618945,0.0011868186460191263,0.0004748440675492333,0.003112454945366158,0.006136322736186095,0.003944238218797569,0.00043074847651157,0.002309741591529337,0.0006193458884569125,0.0,0.00042220202852615,0.0004590385782591,0.000659304669143553,0.015208855210088105,0.01097616414024621,0.002980067093279837,0.0006728637606603873,0.00067322493839835,0.0003614522322793906,0.0032506939769486472,0.01493895840531332,0.01761588399357629,0.0051665462323469006,0.0005870291741362923,0.001327274602020311,0.000396813254191575,0.0017642193925715998,0.004421409327743905,0.0004553817433948455,0.0003712184875233333,0.0,0.00037011394397095456,0.00035200862347860003,0.0003464119771525007,0.00044434252207075,0.0001356095649946,0.003142075339476121,0.002559778744827516,0.00044401460578225445,0.0011673443741444234,0.0020556235266419526,0.0013388827874617779,0.000776941673266271,0.00038336041737574997,0.00539943209388011,0.006684178438576289,0.0006510850484900199,0.0021045667838185053,0.00083763363180325,0.0008691103963394722,0.0007611244059125771,0.002393362557875574,0.00244475586520255,0.0004104217045004,0.00051861613123706,0.0010630721435295736,0.0002749239285270969,0.00048461257475589337,0.006015832969002368,0.0029852778662608423,0.0004420020654206267,0.0011606251932951294,0.00868850936831201,0.00043787410174642497,0.0010311869114204351,0.0006699412564411649,0.0021381658858935313,0.0035573291845781892,0.00025387510789496665,0.0005723598013869643,0.0023741827208023,0.00801210007290429,0.0008677336922459934,0.002080934703161916,0.007351177810205484,0.03513977641462635,0.002615036899211137
50,20.38335831719681,36.25,36.25,36.25,0.004707876030775565,0.00191805320473212,0.0006472562756400357,0.007539144951433391,0.011302803844327795,0.00053583227241935,0.001089040163472621,0.0011656710430647422,0.001649238607062015,0.00038378073656234287,0.005732616031031215,0.0006649583735171,0.0005468374224480733,0.00121134434969712,0.00026408319368442497,0.001285892885418295,0.004471703328746655,0.0004902325185084428,0.0004333083693527647,0.0,0.0002652624942664324,0.0003897429145093,0.0002578144827969343,0.00031557411373402,0.0009510614488797,0.00043995411029728573,0.0016566839482427952,0.01000720186646992,0.0004243244103811583,0.00133479138253996,0.00093443649583317,0.00040372009056953336,0.003461496607910375,0.006201192396803714,0.004015316069230935,0.0006312075221338692,0.00219060109035138,0.0007518762828722,0.0002948417909395,0.0004357368772422167,0.0004821667608561196,0.0006050628366952001,0.015485879616284105,0.01098735148321063,0.0033733175173737895,0.0008939091419800279,0.0008510834802727001,0.0007746242944008501,0.003482408763472265,0.015528314768551061,0.01815297171931064,0.00550036100495783,0.0006027162483427077,0.0014441761199510527,0.0002819108610248,0.00167049418734781,0.004740902101529835,0.0008003687232331699,0.0005633979008325125,0.0002178952103665,0.0002252134375866625,0.0004563706642245294,0.00031009664991161963,0.00028990061716515,3.514438876879053e-05,0.003005784846984335,0.00215678539165795,0.00051316558530875,0.0010974857974118421,0.001733472247608285,0.0012412273060807444,0.0006885961226436249,0.0003572729894653,0.0054247592294515805,0.00652044565143612,0.0006402739468231999,0.0025646298707779,0.00113726863727408,0.0009972648786214526,0.0008357962436213471,0.00238246825656556,0.0021697946368813897,0.00033113741333613334,0.0005284348823473454,0.0009819285068221099,0.0004999591781157499,0.0007166465162453285,0.005861541643099665,0.0032375010143606553,0.0005760296810370857,0.001042022443585445,0.009640151785341996,0.00027967353007394554,0.000971243975920639,0.0005315144704297559,0.00132140582348657,0.0034660012270308705,0.0007295179511105666,0.0006970614494081081,0.002628575997796845,0.00842102383937564,0.0007636868644816438,0.0024510328210108354,0.00791984238372436,0.03821016591149829,0.002583140883552815
60,20.38335831719681,36.25,36.25,36.25,0.005225478046774215,0.00225131730024516,0.0004234121374788645,0.007033932290749235,0.01338461205671872,0.0005275668276271143,0.001525078929177055,0.001342707010789605,0.001476831536195815,0.0005104393760692,0.005621069158203205,0.0007057351747136705,0.0007606089202504715,0.0011983230433288649,0.00052190217857325,0.001497386766716395,0.005404414585421725,0.0004104853318025,0.0003097726557965028,0.0002776336738162,0.000360842795735775,0.0005093104110458889,0.0003094684097639375,0.00021479003009777136,0.0012344039075257948,0.000514076702057125,0.001418545097224565,0.01031377590114562,0.0005002599945187091,0.0013883592584697946,0.0011249014565725651,0.00025976383467140874,0.003632182877737055,0.005793652399704665,0.0037728300072103955,0.00048794364391550714,0.00198458861090978,0.0004596235741743195,0.0,0.0005224583936981133,0.0004251662707146985,0.0005811052925403,0.016408266830709894,0.010496645071044865,0.00311725701404547,0.0007988640019729292,0.0012123258475184157,0.0004592613372800875,0.003502145292822865,0.0163892395058123,0.01738090173224418,0.0050380439109117044,0.0005756858138276643,0.0013950982652577843,0.0004709313276757364,0.001492408963041485,0.004089565653397745,0.0004686147851797058,0.0004604474547812915,6.958709799533488e-05,0.0002232844104697154,0.0004119223978718125,0.0003375181940442688,0.00031082128847245,0.0003259940026034,0.00269221638253129,0.0018680030861519402,0.0005778545383713873,0.0012558463762509812,0.002013696109141725,0.0008642658431689625,0.00040174893719882007,0.00035070352710473335,0.00572415427137378,0.005812323249408845,0.0005940284367673,0.002637207011399245,0.0011098612566846,0.0009547786199750443,0.0005991999905779,0.002084594943704565,0.0018896405650821399,0.00042898901416055,0.0004377481221928846,0.0013135123952646894,0.00033242452095738,0.0006101537080754857,0.005840540846432445,0.0024753769194712097,0.000480166438123825,0.001382996319931755,0.01028737894002953,0.00030764509056463744,0.0009493698489465188,0.0009720357638000842,0.00169847185768838,0.00362966056989643,0.000337583798093875,0.0006713030301392765,0.00292083665212629,0.009301194441825485,0.00120043509772352,0.0024513520053968648,0.0087537378103992,0.042992282058859174,0.00368939224237139
70,20.38335831719681,36.25,36.25,36.25,0.0048876364120056,0.00244050474899403,0.0005989572211377909,0.0075002780692735305,0.01406330077355524,0.00044426263633709994,0.0013821795109648632,0.001524163584133192,0.0018975396073181098,0.0005039318221727823,0.00594902264678414,0.0007022759589066764,0.0007139934211911693,0.0012117637010909152,0.00041173719784736666,0.0016478136090858052,0.005453417633333075,0.00050141860128655,0.0003414685887231643,0.0006174443351306,0.00043101678191816,0.00046762912142734545,0.00037910816586375997,0.0002647364043883333,0.0008742878199680399,0.0004334444930309889,0.0015333268001625105,0.010443089351663935,0.0006230125061991125,0.0014788313939641002,0.00123992855869181,0.0003707471760091,0.003478324001449265,0.005737629916264725,0.00394222345002116,0.0005444106300389188,0.00195045162785082,0.0006514542547635357,0.0003336016543067,0.00038315306347546,0.0004475899187597714,0.0005941171049502844,0.01642420254578966,0.011088859888642794,0.0031058445620518052,0.0007117617585359112,0.0009389171585865578,0.000390402281274925,0.00388842688230596,0.01708371777192328,0.017560412659946994,0.00546903894668601,0.0006406341177566714,0.0014774837718576894,0.0003393411138614381,0.001479627881867775,0.004175870629273345,0.0006328372021860013,0.0004545537622510148,0.0,0.00031734290431576363,0.00035814845793530716,0.0002797348693292,0.00034242118186632504,0.0,0.00274250501920777,0.0020786233741411,0.0006990220799494368,0.001049929209529895,0.0017991518731009,0.00087577792672248,0.0006074236674977625,0.00037217713568189997,0.00506215711069826,0.00631432001480339,0.0006748642507700824,0.0023262166480485904,0.001379185733952145,0.0010878478282912317,0.0004903195265967813,0.002330966617910345,0.0019505719138875701,0.0005135534801675875,0.000521838270745986,0.000938881871014745,0.0002820371290641311,0.0006312451124279932,0.006264837892489895,0.0024590811566013197,0.0004851937382522023,0.00138738515427143,0.01140253330062818,0.00041452126793583004,0.0009885877086120948,0.000716401837148821,0.001361968735216655,0.003368950732544955,0.00023528547540232637,0.0006425051475620941,0.002591723853459755,0.008143494542150565,0.0007190346536195118,0.002330246898402075,0.009422962417468985,0.044147430217630144,0.00351395272729009
80,64.16186583284816,36.25,36.25,36.25,0.005251969305685058,0.002292046233405279,0.0006181205776432583,0.007401287299628132,0.013813912958736305,0.00037733792982446666,0.0015941972892976263,0.0013723575483566052,0.0020933969518991736,0.00024331671215731195,0.0068556688223874625,0.0007566061542010764,0.000575729621852723,0.0014074476426946556,0.00034816929175594,0.0014370734362833103,0.006499955591317574,0.00043221693333758996,0.00024344160803633821,0.0,0.00036716537754360713,0.0005680838004624455,0.0003219946387458625,0.00026844758066562496,0.0011394034392436822,0.00068787853920885,0.0017936324084127631,0.009879795269397963,0.0005514446122532818,0.0011545387505593105,0.0011259785435856263,0.00044524077634736006,0.0037771006863151317,0.006159634964956189,0.0037710099274490317,0.0004960939844045166,0.0023088337340346106,0.0004765601937090571,0.0,0.0003410356191679,0.0005084435561669267,0.0006016597825298059,0.015828335864790332,0.010524276553499863,0.002482039138512921,0.0007287567570853615,0.0010812004854878824,0.0003012277861297766,0.003686859177506889,0.017746030061287773,0.01843726650753566,0.005657578555068259,0.0005634031609360364,0.0009477824476461158,0.00041473549084611956,0.0013666409262120369,0.00468154862225719,0.0006637059357948733,0.0005282813536750917,0.000179643605398195,0.0002600590470668135,0.00037200982551931677,0.000292938766738,0.00034248108564945005,0.0,0.0028418310296642,0.0019701686402469366,0.0005764856222526428,0.0009826277728622948,0.0012757802951640944,0.0011220522870872475,0.0007016832122938538,0.0003769533212193111,0.005147714440252026,0.0057818193264004315,0.0007169982774356142,0.0027808046529356157,0.0012510245363257684,0.0012238555240496158,0.0006085562778138923,0.002341824490039963,0.0021028835143134103,0.00064784587162607,0.0005406427831696786,0.001217246186165221,0.00043827101792665,0.0005388669682085286,0.006861366983920168,0.0025980843750595633,0.00043422263107414997,0.0014357599838524,0.011105889089327517,0.00036206391995382685,0.001099660435051758,0.0007439366145511826,0.001253884526274821,0.003029693159179237,0.0002912473713445,0.0007271341554125733,0.0027048930768360053,0.0076638495750744415,0.0009060125942052764,0.002244803057238421,0.008705793955604285,0.046618621751336145,0.00365447884704429
90,64.16186583284816,36.25,36.25,36.25,0.00595948760949309,0.00212022566396657,0.0006000771885305643,0.007139492411770974,0.01519730498729217,0.0004546623754401308,0.0014365022237202451,0.0014901786071524314,0.001842487795449205,0.00040231690417557144,0.006388825176042355,0.0008919603431115201,0.0005517711786094799,0.0015779017277865316,0.00024040365093585002,0.0015543232195283946,0.006482703788056245,0.000490045916821175,0.00040095823581695,0.0002430814426587,0.0003972622039302756,0.0002905870299977138,0.00024091586240301667,0.0003470161469146857,0.001263748311310472,0.00039184726512751664,0.0015794295547210551,0.010303604511529089,0.0004470213313403917,0.001308535709415675,0.0012933484665771842,0.00041029808323624,0.003674339825546225,0.00589542938052752,0.0036624419631686002,0.0007827114444641,0.0023386602297709,0.0005251925302018364,0.0,0.00041639585445854,0.0005977877722980889,0.0005244333501854631,0.015758373581380325,0.01040450925866499,0.00317450658639287,0.0005511739815028947,0.0009038659955174199,0.0003946037675070285,0.00391257422465426,0.017397747679837084,0.01860105998966666,0.005514219082849975,0.0005025045774613847,0.0011424614718433368,0.0004708115090032,0.0014794852596320262,0.004083257637992275,0.0006880528572988572,0.0004245971714507091,0.0,0.0003897945042028769,0.0004088584987407327,0.00035994637324134,0.0003523719420974,0.0002624977492445,0.00281391157137759,0.0019228144652527399,0.0005723266439665759,0.0008658551924779969,0.001548777739499725,0.0007812460898575944,0.0004515646179665818,0.00031323460792075,0.00524076157554964,0.005803585877505705,0.0007342362452090188,0.00294645803165168,0.00113268915765031,0.0012204615052490001,0.000720673656258525,0.00219080846739137,0.0019305550690441842,0.0007200710504517,0.000427370384093175,0.00108531506046292,0.0003226014008458,0.0006108527076942644,0.005448596984636784,0.00272828410919409,0.0004757649584375143,0.0011056789780015737,0.010421648238049905,0.0003463075892826397,0.0009231364470133527,0.000657997086487,0.001579922082974665,0.0030382518741419997,0.0004641534030187,0.0007622907173754266,0.0028792406180295797,0.008695226708765755,0.001130225846014721,0.002575714731929225,0.009256100162559814,0.047146247762078985,0.00394667146420829
100,64.16186583284816,36.25,36.25,36.25,0.005098033531461035,0.002303576075549165,0.0006448991881224923,0.00753441749678585,0.014958700100165184,0.00041776804485403845,0.0013053138168708262,0.0014484967416135849,0.001820092726836585,0.00036443480214563194,0.006060138738247665,0.0006598955938321261,0.0006189277805336375,0.0011500764831362895,0.0003063309892758,0.00177270678421278,0.006385867674513634,0.0004419003547507333,0.0003724137290909833,0.0,0.00039323561334403997,0.00044030873809404,0.0002899239527733,0.0002286518070661,0.0012267031211958285,0.0003761303511834333,0.00172977197172245,0.010501592359493984,0.0005882207658961182,0.0011565171327604388,0.0009901902975332799,0.00036083808532406665,0.0034087717360413647,0.00649179575263228,0.00354234473133517,0.00045828711475975,0.002328863923888485,0.00052870218023524,0.0,0.0004044340056908986,0.0004834863810041313,0.0005687317913606235,0.014506130218401058,0.010801393826148675,0.002723673228584995,0.0007932634524327934,0.0010755948926531801,0.0005587767764973667,0.003692731425402415,0.0181242245600944,0.01872787863338889,0.00573216213519054,0.0004917599137447,0.00105689675903339,0.00040701592928026,0.00119692513307295,0.004087874006977855,0.0006858535308407631,0.0005550382795586272,0.0004222956964505,0.0003823746050409222,0.00046674851702072713,0.000260447867148725,0.0002533116996771,0.0002151554293244,0.00230693236388647,0.002165465727791095,0.0007112923008273133,0.0010346982496488738,0.001391877273178305,0.0010088995019983454,0.0006316914892478923,0.0003024607041825667,0.005664192429375275,0.005589634865656326,0.0006011693988328801,0.002932121748397775,0.001389526133589315,0.0012539461053609681,0.0007662107442861278,0.00221076733840702,0.001572034865336225,0.00035833027617709,0.0005149057238558916,0.0012346037448529889,0.0004158129303452714,0.0005788717045679857,0.006279899620552795,0.002715343615103185,0.0006004102296441077,0.001180306388021275,0.01090153915049685,0.00048085432383991106,0.0012376651689996474,0.0007438039339237866,0.0011754813533397198,0.002485160921016005,0.00041518575818965,0.0006308500339597586,0.002452642526926995,0.008604106272618064,0.0009296078544128001,0.00235724841956282,0.009403261393354454,0.04687452295725292,0.0037603722210603854
110,64.16186583284816,36.25,36.25,36.25,0.005518741563303605,0.0027965525650098548,0.0006644770016713165,0.007180249528538095,0.01562892503690927,0.0003436677645212125,0.0016961410402939752,0.0011938800879513051,0.0018608448843800602,0.0004718219458340779,0.006489143983698891,0.0007751966393960625,0.0007626145976122223,0.00144561003973909,0.00031232142693514,0.0016136949168295601,0.006541547893120785,0.00038373429932421114,0.0004064524373400533,0.0,0.00036382716923654594,0.0004779284240237313,0.00021899660350655,0.000271664676424275,0.00085064303257858,0.00045386894435644,0.001466717182976015,0.00966809416365394,0.0005176089084248555,0.00109812773826028,0.0009561439878065052,0.00044701148298693753,0.003234971545838425,0.005403134568810355,0.00391514168064212,0.000577461872977875,0.001963281776582935,0.0005702482748727091,0.0008513860042003,0.00040912090136494613,0.0003882758911966556,0.00058478047028405,0.014885448698244815,0.01020353347793048,0.00287101548685373,0.0007709003592280125,0.0009491057996128105,0.00040710534569075,0.00413114390614547,0.01817346722734193,0.019038841192716625,0.00559444520808434,0.00057160610774805,0.0015284018522449105,0.00042618965073306666,0.0016721312817955102,0.003921096304301725,0.0007547787568579867,0.00051730664815291,0.0002022386944173,0.00039461231835690006,0.00047440432549456494,0.00034688782532661666,0.00032034141741000004,0.00023316228869690002,0.002948642655016775,0.00201903513795656,0.00045179098140236875,0.0008776529996201947,0.001423682264656385,0.0009209680351477999,0.0005920039086822728,0.0005558215354937,0.00528967975336666,0.005821700640205695,0.0007978823621533313,0.003025934375839525,0.001366340523180665,0.00139684751081184,0.0007494651992398688,0.00236429533655029,0.00155978766848507,0.0004781394865402572,0.0004147020147021,0.000864104019675185,0.00043545062706015,0.0004488141256926267,0.00572034090323143,0.00255491139681784,0.0005002482959619182,0.0011493973698539,0.01033142973303395,0.00041219907945193996,0.0011382006648608949,0.0008495676604484235,0.0014929653320334998,0.0031769241692406946,0.0003041790266437,0.0006443257700302387,0.00271975366941758,0.00831849007697447,0.0012498681696366718,0.00221149817217294,0.009525754738826145,0.04761660516347351,0.004149957051460975
