Task,FRC,LSVC,SVC,GP,MLP,ELM
AND,0.9742692145395038,0.931365472856009,0.9403881458200212,0.8554230386451722,0.9458172995338202,0.9459567120269843
OR,0.8946788879640485,0.8892662959587493,0.9475473918596306,0.8822836803888614,0.8908909540655138,0.9424201558244265
Linear,0.9074178603243603,0.942616360498181,0.9227694497700376,0.9335523910993963,0.9529867426185563,0.9254799628578387
Triangle,0.9378773885020482,0.9665442858215307,0.9765970898288419,0.9572755139237143,0.6009816832417368,0.9697485223400345
XOR,0.8815208957485593,0.5140902628383451,0.9231589141347165,0.7228619239364491,0.9576182978858269,0.9278583395054562
Checkers,0.6818369768929331,0.5,0.66276489051067,0.5,0.5020833333333333,0.42351198380523547
Circle,0.8775094257653218,0.5324779924971802,0.9874296608290389,0.6971982373228889,0.9710051204222052,0.9519671711262407
Sine,0.8728729678352567,0.6724682082029896,0.9363965185179319,0.66964070467697,0.8647906748141283,0.7122950899224221
Concentric,0.7777427036590739,0.40733275635523414,0.8220294389777951,0.5531575163217646,0.7314334407156748,0.8333173865647618
Dots,0.8267332134643436,0.4568654340908391,0.8964980084465354,0.4763128573228443,0.8650908019055206,0.8348727417443702
